programme,title,ministry,description,total_project_cost,total_foreign_funding,total_government_funding,start_date,end_date,foreign_actual_pre_2024,foreign_actual_2024,foreign_actual_2025,foreing_actual_2026,foreign_donor,region,gov_actual_pre_2024,gov_actual_2024,gov_actual_2025,gov_actual_2026,budget_2026
474 - regional and clinical services,emergency medical authority,ministry of health,the project entails provision for offices and equipment.,163840000,0,163840000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,163840000,163840000
475 - health sciences education,ministry of health - buildings,ministry of health,the project entails provision for nursing schools and dormitories.,3853271000,0,3853271000,01-Jan-23,31-Dec-27,0,0,0,0,nil,1 - 10 national,177123000,1425000000,1054417000,1019391000,1019391000
475 - health sciences education,office furniture and equipment,ministry of health,the project entails provision for furniture and equipment.,125000000,0,125000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,125000000,125000000
476 - standards and technical services,ministry of health - buildings,ministry of health,the project entails provision for buildings.,3965565000,0,3965565000,01-Jan-25,31-Dec-28,0,0,0,0,nil,1 - 10 national,0,0,543998000,1300000000,1300000000
476 - standards and technical services,office furniture and equipment,ministry of health,the project entails provision for furniture and equipment.,7500000,0,7500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7500000,7500000
476 - standards and technical services,equipment - medical,ministry of health,the project entails provision for equipment.,125000000,0,125000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,125000000,125000000
477 - disability and rehabilitation services,ministry of health - buildings,ministry of health,the project entails provision for buildings.,850000000,0,850000000,01-Jan-25,31-Dec-27,0,0,0,0,nil,4 demerara/mahaica,0,0,400000000,200000000,200000000
477 - disability and rehabilitation services,land and water transport,ministry of health,the project entails provision for all terrain vehicles (atvs).,6000000,0,6000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,6000000,6000000
477 - disability and rehabilitation services,office furniture and equipment,ministry of health,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,5000000,5000000
477 - disability and rehabilitation services,equipment - medical,ministry of health,the project entails provision for equipment.,25000000,0,25000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,25000000,25000000
478 - disease control - non-communicable diseases,ministry of health - buildings,ministry of health,the project includes provision for buildings.,4371853000,0,4371853000,01-Jan-25,31-Dec-27,0,0,0,0,nil,4 demerara/mahaica,0,0,2007853000,1364000000,1364000000
478 - disease control - non-communicable diseases,office furniture and equipment,ministry of health,the project entails provision for furniture and equipment.,18500000,0,18500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,18500000,18500000
478 - disease control - non-communicable diseases,equipment - medical,ministry of health,the project entails provision for equipment.,200000000,0,200000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,200000000,200000000
511 - policy development and administration,buildings,ministry of home affairs,"the project entails:
1. payment of retention.
2. provision for buildings.",1269252000,0,1269252000,01-Jan-23,31-Dec-26,0,0,0,0,nil,1 - 10 national,200000000,569692000,370304000,129256000,129256000
511 - policy development and administration,office equipment and furniture,ministry of home affairs,the project entails provision for furniture and equipment.,75000000,0,75000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,45000000,30000000,30000000
511 - policy development and administration,community policing,ministry of home affairs,"the project includes provision for furniture, equipment, all terrain vehicles (atvs), boats and outboard engines.",43000000,0,43000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,23000000,20000000,20000000
512 - guyana police force,police stations and buildings,ministry of home affairs,"the project includes:
1. payment of retention.
2. provision for police stations, buildings, living quarters and facilities.",16703771000,0,16703771000,01-Jan-22,31-Dec-28,0,0,0,0,nil,1 - 10 national,3605558000,4783304000,4285000000,3283805000,3283805000
512 - guyana police force,land and water transport - police,ministry of home affairs,"the project includes provision for vehicles, all terrain vehicles (atvs), motorcycles, boats and outboard engines.",2200000000,0,2200000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,1300000000,900000000,900000000
512 - guyana police force,equipment and furniture - police,ministry of home affairs,the project entails provision for furniture and equipment.,180000000,0,180000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,105000000,75000000,75000000
512 - guyana police force,equipment - police,ministry of home affairs,the project entails provision for equipment.,1660000000,0,1660000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,1100000000,560000000,560000000
513 - guyana prison service,buildings - prisons,ministry of home affairs,"the project includes:
1. payment of retention.
2. provision for prisons.",10446891000,0,10446891000,01-Jan-22,31-Dec-26,0,0,0,0,nil,"4, 6 & 7 national",4403780000,2596345000,2005938000,1440828000,1440828000
513 - guyana prison service,land and water transport - prisons,ministry of home affairs,"the project includes provision for vehicles, all terrain vehicles (atvs) and truck.",53650000,0,53650000,01-Jan-26,31-Dec-26,0,0,0,0,nil,"4, 6 & 7 national",0,0,0,53650000,53650000
513 - guyana prison service,other equipment - prisons,ministry of home affairs,the project entails provision for furniture and equipment.,260000000,0,260000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,"4, 6 & 7 national",0,0,135000000,125000000,125000000
513 - guyana prison service,tools and equipment - prisons,ministry of home affairs,the project entails provision for tools and equipment.,70000000,0,70000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,"4, 6 & 7 national",0,0,60000000,10000000,10000000
515 - guyana fire service,buildings - fire,ministry of home affairs,"the project includes:
1. payment of retention.
2. provision for fire stations and living quarters.",2594715000,0,2594715000,01-Jan-24,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,504811000,1089904000,1000000000,1000000000
515 - guyana fire service,land and water transport - fire,ministry of home affairs,"the project includes provision for airport firefighting vehicles, water tenders and water bowser.",2134479000,0,2134479000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,527900000,1606579000,1606579000
515 - guyana fire service,communication equipment - fire,ministry of home affairs,the project entails provision for communication equipment.,8000000,0,8000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,8000000,8000000
515 - guyana fire service,tools and equipment - fire,ministry of home affairs,the project entails provision for tools and equipment.,1225000000,0,1225000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,925000000,300000000,300000000
515 - guyana fire service,office equipment and furniture - fire,ministry of home affairs,the project entails provision for furniture and equipment.,38000000,0,38000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,18000000,20000000,20000000
516 - general register office,general registrar's office,ministry of home affairs,the project entails provision for furniture and equipment.,7000000,0,7000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7000000,7000000
517 - customs anti narcotics,customs anti narcotics unit,ministry of home affairs,"the project entails provision for buildings, furniture and equipment.",490000000,0,490000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,300000000,190000000,190000000
521 - policy development and administration,buildings,ministry of legal affairs,"the project entails:
1. payment of retention.
2. provision for buildings.",121154000,0,121154000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,10204000,110950000,110950000
521 - policy development and administration,furniture and equipment,ministry of legal affairs,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,5000000,5000000
523 - attorney general's chambers,furniture and equipment,ministry of legal affairs,the project entails provision for furniture and equipment.,7500000,0,7500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7500000,7500000
524 - state solicitor,furniture and equipment,ministry of legal affairs,the project entails provision for furniture and equipment.,2000000,0,2000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,2000000,2000000
531 - defence and security support,buildings,guyana defence force,the project entails provision for buildings and other facilities.,4192334000,0,4192334000,01-Jan-24,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,1529363000,1662971000,1000000000,1000000000
531 - defence and security support,marine development,guyana defence force,the project entails provision for wharf and other facilities.,5475987000,0,5475987000,01-Jan-23,31-Dec-27,0,0,0,0,nil,1 - 10 national,361845000,1433121000,2153021000,1428000000,1428000000
531 - defence and security support,"air, land and water transport",guyana defence force,the project includes provision for vehicles.,200000000,0,200000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,200000000,200000000
531 - defence and security support,furniture and equipment,guyana defence force,the project entails provision for furniture and equipment.,200000000,0,200000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,200000000,200000000
531 - defence and security support,pure water supply,guyana defence force,the project entails upgrading of water distribution systems.,15000000,0,15000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,15000000,15000000
531 - defence and security support,agriculture development,guyana defence force,the project includes provision for agricultural development initiatives.,67495000,0,67495000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,37495000,30000000,30000000
531 - defence and security support,defence support programme,guyana defence force,the project entails provision for defence support initiatives.,48039970000,20850000000,21860126000,01-Jan-24,31-Dec-27,0,4872645000,0,4964000000,india,1 - 10 national,0,11360126000,5500000000,4000000000,12364000000
531 - defence and security support,defence support programme,guyana defence force,the project entails provision for defence support initiatives.,0,5329844000,0,01-Jan-24,31-Dec-27,0,0,0,3400000000,other,1 - 10 national,0,0,0,0,0
551 - supreme court of judicature,constitutional agencies,supreme court,"the project includes:
1. payment of retention.
2. provision for courts, living quarters, furniture and equipment.",7466609000,0,7466609000,01-Jan-22,31-Dec-26,0,0,0,0,nil,1 - 10 national,2189080000,1290300000,1502229000,2485000000,2485000000
561 - public prosecutions,constitutional agencies,public prosecutions,the project entails provision for furniture and equipment.,15000000,0,15000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,15000000,15000000
571 - ombudsman,constitutional agencies,office of the ombudsman,the project entails provision for furniture and equipment.,1330000,0,1330000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,1330000,1330000
581 - public service appellate tribunal,constitutional agencies,public service appellate tribunal,the project entails provision for furniture and equipment.,700000,0,700000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/ mahaica,0,0,0,700000,700000
591 - ethnic relations commission,constitutional agencies,ethnic relations commission,"the project entails provision for drain, furniture and equipment.",7000000,0,7000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7000000,7000000
611 - rights commissions of guyana,constitutional agencies,rights commissions of guyana,the project entails provision for furniture and equipment.,2680000,0,2680000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,2680000,2680000
621 - public procurement commission,constitutional agencies,public procurement commission,the project entails provision for equipment.,1500000,0,1500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,1500000,1500000
711 - regional administration and finance,furniture and equipment - administration,region 1: barima/waini,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,5000000,5000000
711 - regional administration and finance,furniture and equipment - staff quarters,region 1: barima/waini,the project entails provision for furniture and equipment.,3500000,0,3500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,3500000,3500000
712 - public works,bridges,region 1: barima/waini,the project entails construction of bridges.,79000000,0,79000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,79000000,79000000
712 - public works,roads,region 1: barima/waini,the project entail construction of roads.,60300000,0,60300000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,60300000,60300000
712 - public works,infrastructural development,region 1: barima/waini,the project entails construction of culverts and revetment.,65000000,0,65000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,65000000,65000000
712 - public works,power supply,region 1: barima/waini,the project entails provision for electricity distribution networks.,50000000,0,50000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,50000000,50000000
713 - education delivery,buildings - education,region 1: barima/waini,the project includes provision for schools and educational facilities.,505076000,0,505076000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,183135000,321941000,321941000
713 - education delivery,land and water transport,region 1: barima/waini,"the project entails provision for bus, boats and outboard engines.",23000000,0,23000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,23000000,23000000
713 - education delivery,furniture and equipment - education,region 1: barima/waini,the project entails provision for school furniture and equipment.,40000000,0,40000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,40000000,40000000
713 - education delivery,furniture and equipment - staff quarters,region 1: barima/waini,the project entails provision for furniture and equipment.,13500000,0,13500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,13500000,13500000
714 - health services,buildings - health,region 1: barima/waini,"the project includes:
1. payment of retention.
2. provision for health facilities.",439254000,0,439254000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,219254000,220000000,220000000
714 - health services,land and water transport,region 1: barima/waini,"the project entails provision for ambulance, truck and buses.",50000000,0,50000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,50000000,50000000
714 - health services,furniture and equipment - staff quarters,region 1: barima/waini,the project entails provision for furniture and equipment.,41000000,0,41000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,41000000,41000000
714 - health services,furniture and equipment - health,region 1: barima/waini,the project entails provision for furniture and equipment.,83000000,0,83000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,83000000,83000000
715 - agriculture,agricultural development,region 1: barima/waini,the project entails provision for agricultural development initiatives.,34000000,0,34000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 barima/waini,0,0,0,34000000,34000000
721 - regional administration and finance,buildings - administration,region 2: pomeroon/supenaam,"the project entails:
1. payment of retention.
2. provision for buildings.",68398000,0,68398000,01-Jan-25,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,36125000,32273000,32273000
721 - regional administration and finance,furniture and equipment - administration,region 2: pomeroon/supenaam,the project entails provision for furniture and equipment.,3500000,0,3500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,3500000,3500000
722 - agriculture,miscellaneous drainage and irrigation works,region 2: pomeroon/supenaam,the project entails provision for agricultural development initiatives.,166506000,0,166506000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,166506000,166506000
722 - agriculture,furniture and equipment,region 2: pomeroon/supenaam,the project entails provision for furniture and equipment.,2000000,0,2000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,2000000,2000000
723 - public works,bridges,region 2: pomeroon/supenaam,"the project entails:
1. payment of retention
2. provision for bridges.",196000000,0,196000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,96000000,100000000,100000000
723 - public works,roads,region 2: pomeroon/supenaam,"the project entails:
1. payment of retention.
2. provision for roads.",200000000,0,200000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,100000000,100000000,100000000
723 - public works,land and water transport,region 2: pomeroon/supenaam,the project entails provision for boat and outboard engine.,2050000,0,2050000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,2050000,2050000
723 - public works,furniture and equipment,region 2: pomeroon/supenaam,the project entails provision for furniture and equipment.,1000000,0,1000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,1000000,1000000
724 - education delivery,buildings - education,region 2: pomeroon/supenaam,"the project entails:
1. payment of retention.
2. provision for schools and educational facilities.",586800000,0,586800000,01-Jan-25,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,291800000,295000000,295000000
724 - education delivery,land and water transport,region 2: pomeroon/supenaam,"the project entails provision for boats, outboard engines, truck and buses.",80000000,0,80000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,80000000,80000000
724 - education delivery,furniture and equipment - education,region 2: pomeroon/supenaam,the project entails provision for furniture and equipment.,45000000,0,45000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,45000000,45000000
725 - health services,buildings - health,region 2: pomeroon/supenaam,"the project entails:
1. payment of retention.
2. provision for health facilities.",218594000,0,218594000,01-Jan-25,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,98194000,120400000,120400000
725 - health services,land and water transport,region 2: pomeroon/supenaam,the project entails provision for ambulances.,65000000,0,65000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,65000000,65000000
725 - health services,furniture and equipment - health,region 2: pomeroon/supenaam,the project entails provision for furniture and equipment.,110000000,0,110000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,2 pomeroon/supenaam,0,0,0,110000000,110000000
731 - regional administration and finance,buildings - administration,region 3: essequibo islands/west demerara,the project entails provision for building and tarmac.,45232000,0,45232000,01-Jan-25,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,27994000,17238000,17238000
731 - regional administration and finance,land and water transport,region 3: essequibo islands/west demerara,the project entails provision for buses.,12000000,0,12000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,12000000,12000000
731 - regional administration and finance,furniture and equipment - administration,region 3: essequibo islands/west demerara,the project entails provision for furniture and equipment.,5500000,0,5500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,5500000,5500000
732 - agriculture,agricultural development - d & i,region 3: essequibo islands/west demerara,the project entails provision for agricultural development initiatives.,131870000,0,131870000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,131870000,131870000
733 - public works,bridges,region 3: essequibo islands/west demerara,the project entails provision for bridges.,123000000,0,123000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,123000000,123000000
733 - public works,roads,region 3: essequibo islands/west demerara,the project entails provision for roads.,100000000,0,100000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,100000000,100000000
734 - education delivery,buildings - education,region 3: essequibo islands/west demerara,the project entails provision for schools and educational facilities.,683931000,0,683931000,01-Jan-25,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,331000000,352931000,352931000
734 - education delivery,land and water transport,region 3: essequibo islands/west demerara,the project entails provision for boats and buses.,14000000,0,14000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,14000000,14000000
734 - education delivery,furniture and equipment - education,region 3: essequibo islands/west demerara,the project entails provision for school furniture and equipment.,60000000,0,60000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,60000000,60000000
734 - education delivery,furniture and equipment - staff quarters,region 3: essequibo islands/west demerara,the project entails provision for furniture and equipment.,3500000,0,3500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,3500000,3500000
735 - health services,buildings - health,region 3: essequibo islands/west demerara,the project entails provision for health facilities.,423560000,0,423560000,01-Jan-25,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,205000000,218560000,218560000
735 - health services,land and water transport,region 3: essequibo islands/west demerara,"the project entails provision for ambulances, boats and outboard engines.",24000000,0,24000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,24000000,24000000
735 - health services,furniture and equipment,region 3: essequibo islands/west demerara,the project entails provision for furniture and equipment.,150000000,0,150000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,3 essequibo islands/west demerara,0,0,0,150000000,150000000
741 - regional administration and finance,furniture and equipment - administration,region 4: demerara/mahaica,the project entails provision for furniture and equipment.,4500000,0,4500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,4500000,4500000
742 - agriculture,agricultural development,region 4: demerara/mahaica,the project entails provision for agricultural development initiatives.,90000000,0,90000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,90000000,90000000
743 - public works,bridges,region 4: demerara/mahaica,the project entails provision for bridges.,78000000,0,78000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,78000000,78000000
743 - public works,roads,region 4: demerara/mahaica,the project entails provision for roads.,100000000,0,100000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,100000000,100000000
744 - education delivery,buildings - education,region 4: demerara/mahaica,"the project entails:
1. payment of retention.
2. provision for schools and educational facilities.",810758000,0,810758000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,394522000,416236000,416236000
744 - education delivery,land and water transport,region 4: demerara/mahaica,the project entails provision for buses and truck.,56000000,0,56000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,56000000,56000000
744 - education delivery,furniture and equipment - education,region 4: demerara/mahaica,the project entails provision for school furniture and equipment.,65000000,0,65000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,65000000,65000000
745 - health services,buildings - health,region 4: demerara/mahaica,the project includes provison for health facilities.,140000000,0,140000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,140000000,140000000
745 - health services,land and water transport,region 4: demerara/mahaica,the project entails provision for buses.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,20000000,20000000
745 - health services,furniture and equipment - health,region 4: demerara/mahaica,the project entails provision for furniture and equipment.,88466000,0,88466000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,88466000,88466000
751 - regional administration and finance,buildings - administration,region 5: mahaica/berbice,the project entails provision for upgrading of electrical system.,14000000,0,14000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,0,14000000,14000000
751 - regional administration and finance,office furniture and equipment,region 5: mahaica/berbice,the project entails provision for furniture and equipment.,7000000,0,7000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,0,7000000,7000000
752 - agriculture,drainage and irrigation,region 5: mahaica/berbice,the project entails provision for agricultural development initiatives.,144545000,0,144545000,01-Jan-26,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,0,144545000,144545000
753 - public works,bridges,region 5: mahaica/berbice,"the project entails:
1. payment of retention.
2. provision for bridges.",81332000,0,81332000,01-Jan-25,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,37500000,43832000,43832000
753 - public works,roads,region 5: mahaica/berbice,"the project entails:
1. payment of retention.
2. provision for roads.",206330000,0,206330000,01-Jan-25,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,116000000,90330000,90330000
754 - education delivery,buildings - education,region 5: mahaica/berbice,"the project entails:
1. payment of retention.
2. provision for schools and educational facilities.",424799000,0,424799000,01-Jan-24,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,109000000,143000000,172799000,172799000
754 - education delivery,land and water transport,region 5: mahaica/berbice,"the project entails provision for buses, boat and outboard engine.",34000000,0,34000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,0,34000000,34000000
754 - education delivery,furniture and equipment - education,region 5: mahaica/berbice,the project entails provision for school furniture and equipment.,38000000,0,38000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,0,38000000,38000000
755 - health services,buildings - health,region 5: mahaica/berbice,"the project entails:
1. payment of retention.
2. provision for health facilities.",267439000,0,267439000,01-Jan-25,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,131000000,136439000,136439000
755 - health services,land and water transport,region 5: mahaica/berbice,the project entails provision for ambulance and bus.,26000000,0,26000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,0,26000000,26000000
755 - health services,furniture and equipment - health,region 5: mahaica/berbice,the project entails provision for furniture and equipment.,105000000,0,105000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,5 mahaica/berbice,0,0,0,105000000,105000000
761 - regional administration and finance,buildings - administration,region 6: east berbice/corentyne,"the project entails:
1. payment of retention. 
2. provision for fence.",84766000,0,84766000,01-Jan-25,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,68900000,15866000,15866000
761 - regional administration and finance,furniture and equipment - administration,region 6: east berbice/corentyne,the project entails provision for furniture and equipment.,3500000,0,3500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,3500000,3500000
762 - agriculture,drainage and irrigation,region 6: east berbice/corentyne,the project entails provision for agricultural development initiatives.,96850000,0,96850000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,96850000,96850000
762 - agriculture,land and water transport,region 6: east berbice/corentyne,the project entails provision for motorcycles.,3500000,0,3500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,3500000,3500000
763 - public works,bridges,region 6: east berbice/corentyne,the project entails provision for bridges and culverts.,109750000,0,109750000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,109750000,109750000
763 - public works,roads,region 6: east berbice/corentyne,the project entails provision for roads.,321314000,0,321314000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,321314000,321314000
764 - education delivery,buildings - education,region 6: east berbice/corentyne,the project entails provision for schools and educational facilities.,277260000,0,277260000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,277260000,277260000
764 - education delivery,land and water transport,region 6: east berbice/corentyne,"the project entails provision for buses, boat and outboard engine.",41500000,0,41500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,41500000,41500000
764 - education delivery,furniture and equipment - education,region 6: east berbice/corentyne,the project entails provision for school furniture and equipment.,60000000,0,60000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,60000000,60000000
765 - health services,buildings - health,region 6: east berbice/corentyne,the project entails provision for health facilities.,223350000,0,223350000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,223350000,223350000
765 - health services,land and water transport,region 6: east berbice/corentyne,the project includes provision for ambulances and all terrain vehicles (atvs).,58000000,0,58000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,58000000,58000000
765 - health services,furniture and equipment - health,region 6: east berbice/corentyne,the project entails provision for furniture and equipment.,95000000,0,95000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,95000000,95000000
771 - regional administration and finance,buildings - administration,region 7: cuyuni/mazaruni,the project entails provision for living quarters.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,10000000,10000000
