agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 51 - MINISTRY OF HOME AFFAIRS ,517 - customs anti narcotics,value of assets seized for drug-related crimes (g$),"$135,848,35",TBD,agency 51,ministry of home affairs,outcome,security_justice,ministry
AGENCY 51 - MINISTRY OF HOME AFFAIRS ,517 - customs anti narcotics,number of officers of the unit passing integrity tests,24,TBD,agency 51,ministry of home affairs,outcome,security_justice,ministry
AGENCY 51 - MINISTRY OF HOME AFFAIRS ,517 - customs anti narcotics,volume of narcotic drugs intercepted annually,235.894 kgs (Cocaine) 727.7837kgs (Cannabis) 674 grams (Ecstasy) 83 grams (Meth),TBD,agency 51,ministry of home affairs,outcome,security_justice,ministry
AGENCY 51 - MINISTRY OF HOME AFFAIRS ,517 - customs anti narcotics,number of narcotic drug operations involving foreign counterparts,"13) Canada, Brazil Barbados Columbia USA, Suriname Trinidad and Tobago United Kingdom Jamaica, Mexico, West Africa, Dominican Republic, Bangladesh",TBD,agency 51,ministry of home affairs,output,security_justice,ministry
AGENCY 51 - MINISTRY OF HOME AFFAIRS ,517 - customs anti narcotics,acres of marijuana destroyed,0,TBD,agency 51,ministry of home affairs,outcome,security_justice,ministry
AGENCY 51 - MINISTRY OF HOME AFFAIRS ,517 - customs anti narcotics,number of staff trained,155,TBD,agency 51,ministry of home affairs,output,administration,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,521 - policy development and administration,number of cabinet papers produced,67,30,agency 52,ministry of legal affairs,output,governance,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,521 - policy development and administration,number of publications issued,245,270,agency 52,ministry of legal affairs,output,administration,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,521 - policy development and administration,percentage of personnel records updated,100%,100%,agency 52,ministry of legal affairs,output,administration,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,521 - policy development and administration,value of revenue collected (g$),"$265,260","$600,000",agency 52,ministry of legal affairs,outcome,economic development,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,521 - policy development and administration,number of vacancies filled,8,24,agency 52,ministry of legal affairs,output,administration,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,521 - policy development and administration,percentage of budgetary allocation expended,100%,100%,agency 52,ministry of legal affairs,output,efficiency,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,523 - attorney general's chambers,number of legislation/orders drafted,30,50,agency 52,ministry of legal affairs,output,governance,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,523 - attorney general's chambers,number of legal cases filed against the state,190,150,agency 52,ministry of legal affairs,output,governance,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,523 - attorney general's chambers,number of cases filed by the state,6,20,agency 52,ministry of legal affairs,outcome,security_justice,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,523 - attorney general's chambers,number of cases referred to the restorative justice center,70,75,agency 52,ministry of legal affairs,outcome,security_justice,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,523 - attorney general's chambers,number of laws reviewed,3,5,agency 52,ministry of legal affairs,output,governance,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,523 - attorney general's chambers,number of land titles issued through the land regularisation programme,203,800,agency 52,ministry of legal affairs,output,housing,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,523 - attorney general's chambers,number of constitutional reform consultations completed across the country,0,20,agency 52,ministry of legal affairs,output,governance,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,524 - state solicitor,number of estates undertaken/administered,67,100,agency 52,ministry of legal affairs,outcome,administration,ministry
AGENCY 52 - MINISTRY OF LEGAL AFFAIRS,524 - state solicitor,revenue collected as public trustees fees (g$),"$1,403,315","$1,500,000.00",agency 52,ministry of legal affairs,output,economic development,ministry
AGENCY 53 - GUYANA DEFENCE FORCE,531 - defence and security support,number of: sea operations,1998,2400,agency 53,guyana defence force,output,national_security,military
AGENCY 53 - GUYANA DEFENCE FORCE,531 - defence and security support,Number of: land operations,1529,1800,agency 53,guyana defence force,output,national_security,military
AGENCY 53 - GUYANA DEFENCE FORCE,531 - defence and security support,Number of: air operations,2038,3500,agency 53,guyana defence force,outcome,national_security,military
AGENCY 53 - GUYANA DEFENCE FORCE,531 - defence and security support,number of confirmatory exercise and administrative inspections,107,110,agency 53,guyana defence force,output,national_security,military
AGENCY 53 - GUYANA DEFENCE FORCE,531 - defence and security support,number of continuous training in all phases of military operations,117,190,agency 53,guyana defence force,output,national_security,military
AGENCY 53 - GUYANA DEFENCE FORCE,531 - defence and security support,number of mandatory exercises and tests at the end of all training courses,62,62,agency 53,guyana defence force,output,national_security,military
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,land matters disposed as a % of land matters filed in the high court: georgetown high court,51.00%,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,land matters disposed as a % of land matters filed in the high court: berbice high court,193.00%,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,land matters disposed as a % of land matters filed in the high court: essequibo high court,0/91,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,civil matters disposed as a % of civil matters filed in the high court: georgetown high court,46.40%,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,civil matters disposed as a % of civil matters filed in the high court: berbice high court,29.9%,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,civil matters disposed as a % of civil matters filed in the high court: essequibo high court,56.1%,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,criminal matters disposed as a % of criminal matters filed in the high court: berbice high court,,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,criminal matters disposed as a % of criminal matters filed in the high court: essequibo high court,,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,criminal matters disposed as a % of criminal matters filed in the high court: demerara high court,,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,probate matters disposed as a % of probate matters filed in the high court: georgetown high court,35.90%,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,probate matters disposed as a % of probate matters filed in the high court: berbice high court,28.30%,,agency 55,supreme court,outcome,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,probate matters disposed as a % of probate matters filed in the high court: essequibo high court,84.80%,,agency 55,supreme court,outcome,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,family court matters disposed as a % of family court matters filed in the georgetown high court,27.30%,,agency 55,supreme court,outcome,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,marshal section matters (new rules 2016) disposed as a % of marshal matters filed in the georgetown high court,68.60%,,agency 55,supreme court,outcome,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,criminal/civil appeals disposed as a % of criminal/civil appeal matters filed in the court of appeal.,,,agency 55,supreme court,outcome,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,family matters disposed as a % of family matters filed in the georgetown high court,22.20%,,agency 55,supreme court,outcome,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,number of criminal matters disposed in the magisterial districts,21892,,agency 55,supreme court,outcome,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,civil case matters disposed as a % of civil matters filed in the magisterial districts,,,agency 55,supreme court,outcome,security_justice,constitutional
AGENCY 55 - SUPREME COURT,551 - supreme court of judicature,number of cases referred for mediation in the georgetown high court,,,agency 55,supreme court,output,security_justice,constitutional
AGENCY 56 - PUBLIC PROSECUTIONS,561 - public prosecutions,number of indictments filed,270,300,agency 56,public prosecutions,output,security_justice,constitutional
AGENCY 56 - PUBLIC PROSECUTIONS,561 - public prosecutions,number of cases disposed,157,280,agency 56,public prosecutions,output,security_justice,constitutional
AGENCY 56 - PUBLIC PROSECUTIONS,561 - public prosecutions,number of nolle posequi entered,45,25,agency 56,public prosecutions,output,security_justice,constitutional
AGENCY 56 - PUBLIC PROSECUTIONS,561 - public prosecutions,number of bail applications received,103,288,agency 56,public prosecutions,outcome,security_justice,constitutional
AGENCY 56 - PUBLIC PROSECUTIONS,561 - public prosecutions,number of habeas corpus applications received,0,0,agency 56,public prosecutions,outcome,security_justice,constitutional
AGENCY 56 - PUBLIC PROSECUTIONS,561 - public prosecutions,number of permissions to leave the jurisdiction granted,1,1,agency 56,public prosecutions,output,security_justice,constitutional
AGENCY 56 - PUBLIC PROSECUTIONS,561 - public prosecutions,number of committals received,254,254,agency 56,public prosecutions,output,social protection and welfare,constitutional
AGENCY 57 - OFFICE OF THE OMBUDSMAN,571 - ombudsman,number of resolutions of public complaints,53,55,agency 57,office of the ombudsman,output,governance,constitutional
AGENCY 57 - OFFICE OF THE OMBUDSMAN,571 - ombudsman,number of investigations conducted,84,90,agency 57,office of the ombudsman,output,governance,constitutional
AGENCY 57 - OFFICE OF THE OMBUDSMAN,571 - ombudsman,number of public forums conducted,2,3,agency 57,office of the ombudsman,output,governance,constitutional
AGENCY 57 - OFFICE OF THE OMBUDSMAN,571 - ombudsman,timely submission of ombudsman report to the national assembly,Yes,Yes,agency 57,office of the ombudsman,output,governance,constitutional
AGENCY 58 - PUBLIC SERVICE APPELLATE TRIBUNAL,581 - public service appellate tribunal,number of appeals filed,0,10,agency 58,public service appellate tribunal,output,security_justice,constitutional
AGENCY 58 - PUBLIC SERVICE APPELLATE TRIBUNAL,581 - public service appellate tribunal,number of appeals completed,1,10,agency 58,public service appellate tribunal,output,security_justice,constitutional
AGENCY 58 - PUBLIC SERVICE APPELLATE TRIBUNAL,581 - public service appellate tribunal,number of ongoing appeals,1,10,agency 58,public service appellate tribunal,output,security_justice,constitutional
AGENCY 58 - PUBLIC SERVICE APPELLATE TRIBUNAL,581 - public service appellate tribunal,presentation of annual reports to parliament,3,1,agency 58,public service appellate tribunal,output,governance,constitutional
AGENCY 58 - PUBLIC SERVICE APPELLATE TRIBUNAL,581 - public service appellate tribunal,number of appeals withdrawn,0,0,agency 58,public service appellate tribunal,output,security_justice,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,number of persons trained,579,500,agency 59,ethnic relations commission,output,administration,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,filling vacant positions,1,1,agency 59,ethnic relations commission,output,administration,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,regional visits to all (10) administrative regions in keeping with the constitutional mandate to promote harmony and good relations among guyanese across the country,48,45,agency 59,ethnic relations commission,output,governance,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,"number of statutory, sub-committee and special meetings",125,100,agency 59,ethnic relations commission,output,governance,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,number of complaints received,98,180,agency 59,ethnic relations commission,output,social protection and welfare,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,number of complaints investigated,151,180,agency 59,ethnic relations commission,output,social protection and welfare,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,complaints from 2025 investigated,98,80,agency 59,ethnic relations commission,output,governance,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,complaints from 2023 - 2024 investigated,53,50,agency 59,ethnic relations commission,output,governance,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,number of conferences held,0,2,agency 59,ethnic relations commission,output,administration,constitutional
AGENCY 59 - ETHNIC RELATIONS COMMISSION,591 - ethnic relations commission,number of public education awareness activities,204,150,agency 59,ethnic relations commission,output,education,constitutional
AGENCY 60 - JUDICIAL SERVICE COMMISSION,601 - judicial service commission,"timely processing of appointments, discipline, dismissals, retirements, resignations and promotions ",,,agency 60,judicial service commission,output,administration,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,rights of the child annual report completed and submitted to parliament,3,2,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of research projects completed by rcc,1,1,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of institutional capacity strengthening initiatives undertaken by rcc,3,4,agency 61,rights commissions of guyana,output,administration,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of legislation and regulations reviewed by rcc,1,2,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of institutions' policy reviewed by rcc,2,2,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of standard operational procedures reviewed by rcc,2,2,agency 61,rights commissions of guyana,output,administration,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,percentage (number) of child care institutions monitored by rcc,29% (5),100% (17),agency 61,rights commissions of guyana,output,efficiency,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,percentage (number) of places of detention for children in conflict with the law inspected in the last 12 months by rcc ,28% (4),79% (11),agency 61,rights commissions of guyana,output,social protection and welfare,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,percentage (number) of early childhood institutions inspected by rcc 5% (14),5% (14),50% (136),agency 61,rights commissions of guyana,outcome,social protection and welfare,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,percentage (number) of dormitory schools monitored by rcc,16% (4),83% (20),agency 61,rights commissions of guyana,output,education,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of persons trained in safeguarding the rights of the child by rcc,100,320,agency 61,rights commissions of guyana,output,social protection and welfare,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of public education and awareness sessions completed by rcc,40,190,agency 61,rights commissions of guyana,output,education,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,"number of persons reached through outreach and public education engagements by rcc on social media, radio, and television",205000,230000,agency 61,rights commissions of guyana,output,education,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of complaints received by rcc,18,20,agency 61,rights commissions of guyana,output,social protection and welfare,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of cases mediated and restorative conferencing by rcc,3,7,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of village councils trained by ipc,10,10,agency 61,rights commissions of guyana,output,administration,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of sensitizations/awareness completed by ipc,4,3,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,assessment of village council training completed by ipc,7,9,agency 61,rights commissions of guyana,output,administration,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of annual reports submitted to the national assembly by ipc,0,3,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of annual reports submitted to the national assembly by wgec,0,3,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of statutory meetings by wgec,10,12,agency 61,rights commissions of guyana,output,administration,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of sub-committee meetings of wgec,4,4,agency 61,rights commissions of guyana,output,administration,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,"number of policies, regulations or legislations reviewed by wgec",0,2,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of engagements with key stakeholders by wgec,10,12,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of research projects commissioned by wgec,1,2,agency 61,rights commissions of guyana,output,governance,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of persons reached through outreach and public education engagements including webinars by wgec,2488,2500,agency 61,rights commissions of guyana,output,education,constitutional
AGENCY 61 - RIGHTS COMMISSIONS OF GUYANA,611 - rights commissions of guyana,number of advocacy campaigns executed by wgec,4,4,agency 61,rights commissions of guyana,output,administration,constitutional
AGENCY 62 - PUBLIC PROCUREMENT COMMISSION,621 - public procurement commission,number of recommendations made for amendments to the procurement act and regulations,3,5,agency 62,public procurement commission,outcome,governance,constitutional
AGENCY 62 - PUBLIC PROCUREMENT COMMISSION,621 - public procurement commission,number of reports prepared and shared with the minister as well as on the website,7,7,agency 62,public procurement commission,output,governance,constitutional
AGENCY 62 - PUBLIC PROCUREMENT COMMISSION,621 - public procurement commission,number of persons trained in public procurement,509,460,agency 62,public procurement commission,output,administration,constitutional
AGENCY 62 - PUBLIC PROCUREMENT COMMISSION,621 - public procurement commission,number of investigations completed annually,1,5,agency 62,public procurement commission,output,governance,constitutional
AGENCY 71 - REGION 1: BARIMA/WAINI,711 - regional administration and finance,"level of technical support given to rdcs, ipvcs and ndcs through: meetings held",248,268,agency 71,region 1: barima/waini,output,administration,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,711 - regional administration and finance,community outreaches conducted,140,150,agency 71,region 1: barima/waini,output,social protection and welfare,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,711 - regional administration and finance,number of reports on local government matters disseminated,170,194,agency 71,region 1: barima/waini,output,governance,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,711 - regional administration and finance,number of skilled personnel recruited,165,180,agency 71,region 1: barima/waini,output,administration,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,711 - regional administration and finance,proportion of villages supported with the preparation of their village sustainability plans,82/87,86/87,agency 71,region 1: barima/waini,outcome,economic development,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,711 - regional administration and finance,number of village/community consultations held regarding regional development matters,85,110,agency 71,region 1: barima/waini,output,governance,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,711 - regional administration and finance,regional disaster preparedness plan established and implemented,Yes,Yes,agency 71,region 1: barima/waini,output,environment_climate_risk,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,711 - regional administration and finance,proportion of villages/communities with access to internet within the region,74/87,87/87,agency 71,region 1: barima/waini,outcome,ict_communication,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,712 - public works,number of new communities accessing electricity,34,45,agency 71,region 1: barima/waini,outcome,utilities,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,712 - public works,number of communities accessing potable water,78,80,agency 71,region 1: barima/waini,outcome,utilities,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,712 - public works,"number of roads, trails, bridges and buildings maintained: km of roads maintained/constructed",15.8,17,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,712 - public works,"number of roads, trails, bridges and buildings maintained: km of trails maintained/rehabilitated",96.7,98.2,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,712 - public works,"number of roads, trails, bridges and buildings maintained: number of bridges maintained/constructed",15,18,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,712 - public works,"number of roads, trails, bridges and buildings maintained: number of buildings maintained/constructed",5,5,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of teachers trained at nursery,55%,60%,agency 71,region 1: barima/waini,output,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of teachers trained at primary,43.5%,55%,agency 71,region 1: barima/waini,output,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of teachers trained at secondary,47.5%,50%,agency 71,region 1: barima/waini,output,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of teachers with a bachelor's degree,28%,45%,agency 71,region 1: barima/waini,output,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,student to trained teacher ratio: nursery,20:1,15:1,agency 71,region 1: barima/waini,output,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,student to trained teacher ratio: primary,28:1,20:1,agency 71,region 1: barima/waini,output,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,student to trained teacher ratio: secondary,28:1,25:1,agency 71,region 1: barima/waini,output,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of pupils scoring 50% & over in all subjects at ngsa ,"(Boys:19%, Girls: 25%)",,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,"matriculation rate 8% (boys:9%,","8% (Boys:9%, Girls:7%)",35%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,performance index of hinterland/riverine vs coastal students at ngsa,0.4,1,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,performance index of hinterland/riverine vs coastal students at csec,0.2,1,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools monitored at nursery,100%,100%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools monitored at primary,100%,100%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools monitored at secondary,100%,100%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,average number of textbooks per pupil in primary,12,12,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,"share of textbooks per student by grade – primary: grades 1-4, a minimum of 5 textbook per child",100.00%,,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,"share of textbooks per student by grade – primary: grades 5-6, a minimum of 10 textbook per child",100.00%,,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,average number of textbooks per student in secondary,17,17,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,"share of textbooks per student by grade – secondary: grades 7-9, a minimum of 6 textbook per student",100.00%,,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,"share of textbooks per student by grade – secondary: grades 10-13, a minimum of 10 textbook per student",100.00%,,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of students accessing exercise books,100.00%,100.00%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools with internet access: nursery,85.00%,100.00%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools with internet access: primary,95.00%,100.00%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools with internet access: secondary,100.00%,100.00%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools with electricity access: nursery,85.00%,95.00%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools with electricity access: primary,80.00%,90.00%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,713 - education delivery,percentage of schools with electricity access: secondary,100.00%,100.00%,agency 71,region 1: barima/waini,outcome,education,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,percentage of facilities offering holistic primary health care services (phc),100%,100%,agency 71,region 1: barima/waini,outcome,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,percentage of regional and district hospitals offering obstetric services,100%,100%,agency 71,region 1: barima/waini,outcome,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,percentage of regional and district hospitals offering surgical services (ss),75%,75%,agency 71,region 1: barima/waini,outcome,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,percentage of essential drugs and medical supplies that have at least 3 months buffer stock,90%,100%,agency 71,region 1: barima/waini,output,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,number of trained health workers recruited,46,100,agency 71,region 1: barima/waini,output,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,percentage of pregnant women with anaemia,10%,3%,agency 71,region 1: barima/waini,outcome,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,percentage of children under 5 years old with malnutrition,3.1%,<1%,agency 71,region 1: barima/waini,outcome,social protection and welfare,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,"adolescent birth rate per 1,000 women","38/1,000","18/1,000",agency 71,region 1: barima/waini,outcome,social protection and welfare,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,percentages of communities involved in health care issues,100%,100%,agency 71,region 1: barima/waini,output,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,incidence of infectious diseases,"15/10,000","10/10,000",agency 71,region 1: barima/waini,outcome,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,incidence of dental caries in adults vs children,5:2,5:2,agency 71,region 1: barima/waini,outcome,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,mortality rate,"1.3/10,000","1.2/10,000",agency 71,region 1: barima/waini,outcome,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,714 - health services,morbidity rate,"640/10,000","<350/10,000",agency 71,region 1: barima/waini,outcome,health,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of d&i structures maintained,5,9,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of d&i structures constructed (new),4,8,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,length of channel maintained: km of trenches cleaned ,30.175,90.525,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,length of channel maintained: km of drains desilted,65,100.58,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
